var,day,scenario,rmse
USEP,2021-12-26,152,100.3822912346148
USEP,2021-12-26,158,106.29347048833205
USEP,2021-12-26,175,115.95107823699173
USEP,2021-12-26,95,116.19529184113465
USEP,2021-12-26,141,116.68406941632517
USEP,2021-12-26,18,116.9733965404115
USEP,2021-12-26,108,118.42509894144898
USEP,2021-12-26,186,119.71163494587194
USEP,2021-12-26,147,122.55129186965591
USEP,2021-12-26,125,122.58146297338362
USEP,2021-12-26,26,124.42612131934273
USEP,2021-12-26,15,125.80970628191595
USEP,2021-12-26,160,125.87634126761229
USEP,2021-12-26,198,126.1965634714338
USEP,2021-12-26,86,126.37028842211826
LOAD,2021-12-26,172,1.264567625967184
LOAD,2021-12-26,122,1.3091242970432002
LOAD,2021-12-26,182,1.3492432256192115
LOAD,2021-12-26,1,1.3522149769189473
LOAD,2021-12-26,70,1.359679806401214
LOAD,2021-12-26,162,1.3761946558314335
LOAD,2021-12-26,130,1.3939055424849915
LOAD,2021-12-26,141,1.3987152004268872
LOAD,2021-12-26,81,1.4037066625023296
LOAD,2021-12-26,189,1.409286629282399
LOAD,2021-12-26,164,1.422213237668154
LOAD,2021-12-26,103,1.4315153898807755
LOAD,2021-12-26,180,1.436260391839045
LOAD,2021-12-26,68,1.4364501333932151
LOAD,2021-12-26,166,1.4434911936595103
